Id;PointNumber;Latitude;Longitude
33861;0;-26,29516630;-48,84243237
33861;1;-26,29571489;-48,84243775
33861;2;-26,29376492;-48,86832771
33861;3;-26,29296960;-48,86834917
33861;4;-26,29481392;-48,84275328

